INFO 2026-05-13 01:19:33,054 autoreload 23740 7000 Watching for file changes with StatReloader
INFO 2026-05-13 01:25:39,524 log 23336 18612 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:39,525 log 23336 3720 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,432 log 23336 3720 "GET /admin/authentication/user/ HTTP/1.1" 200 17034
INFO 2026-05-13 01:25:46,460 log 23336 3720 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,474 log 23336 4488 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,476 log 23336 18612 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,479 log 23336 18492 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,486 log 23336 2604 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,488 log 23336 4488 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,489 log 23336 18612 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,492 log 23336 22456 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,495 log 23336 18492 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,500 log 23336 4488 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,501 log 23336 22456 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,503 log 23336 3720 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:25:46,510 log 23336 3720 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,549 log 23336 3720 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,553 log 23336 3720 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:25:46,557 log 23336 3720 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:06,715 log 23336 3720 "POST /admin/authentication/user/ HTTP/1.1" 200 12417
INFO 2026-05-13 01:26:06,875 log 23336 3720 "GET /static/admin/js/cancel.js HTTP/1.1" 200 884
INFO 2026-05-13 01:26:09,384 log 23336 3720 "POST /admin/authentication/user/ HTTP/1.1" 302 0
INFO 2026-05-13 01:26:09,414 log 23336 3720 "GET /admin/authentication/user/ HTTP/1.1" 200 15186
INFO 2026-05-13 01:26:09,463 log 23336 3720 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:26:09,486 log 23336 3720 "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:15,722 log 23336 3720 "GET /admin/authentication/user/add/ HTTP/1.1" 200 15644
INFO 2026-05-13 01:26:15,750 log 23336 3720 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-05-13 01:26:15,762 log 23336 18492 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
